date,cases,deaths
2020/7/9,3131422,133078
2020/7/10,3199646,133906
2020/7/11,3260362,134581
2020/7/12,3318167,134976
2020/7/13,3379734,135401
2020/7/14,3445331,136355
2020/7/15,3513667,137326
2020/7/16,3589349,138284
2020/7/17,3660271,139185
2020/7/18,3722719,139960
2020/7/19,3784994,140372
2020/7/20,3844882,140903
2020/7/21,3910148,142030
2020/7/22,3979885,143166
2020/7/23,4049889,144282
2020/7/24,4123413,145429
2020/7/25,4190189,146312
2020/7/26,4244406,146752
2020/7/27,4303587,148448
2020/7/28,4366697,149775
2020/7/29,4433312,151170
2020/7/30,4502423,152431
2020/7/31,4571482,153860
2020/8/1,4628303,154915
2020/8/2,4679096,155335
2020/8/3,4726579,155943
2020/8/4,4780116,157299
2020/8/5,4833837,158551
2020/8/6,4891532,159626
2020/8/7,4952682,160982
2020/8/8,5007922,161948
2020/8/9,5056410,162487
2020/8/10,5103575,163024
2020/8/11,5156920,164475
2020/8/12,5211203,165953
2020/8/13,5265260,167166
2020/8/14,5324737,168342
2020/8/15,5375486,169401
2020/8/16,5417629,169915
2020/8/17,5455136,170450
2020/8/18,5498362,171799
2020/8/19,5541376,173094
2020/8/20,5587401,174137
2020/8/21,5636428,175298
2020/8/22,5681459,176248
2020/8/23,5713799,176694
2020/8/24,5754178,177198
2020/8/25,5793346,178411
2020/8/26,5838125,179604
2020/8/27,5883729,180730
2020/8/28,5930285,181740
2020/8/29,5974924,182611
2020/8/30,6008376,182985
2020/8/31,6044815,183473
2020/9/1,6088842,184564
2020/9/2,6121842,185640
2020/9/3,6167443,186718
2020/9/4,6218913,187698
2020/9/5,6260993,188409
