index,provinceEnglishName,province_confirmedCount,province_curedCount,province_deadCount,updateTime
202,Guangdong,1631,1604,8,2020/6/19
203,Hebei,340,322,6,2020/6/19
204,Hong Kong,1124,1072,4,2020/6/18
205,Taiwan,446,434,7,2020/6/18
206,Tianjin,197,191,3,2020/6/18
207,Beijing,752,584,9,2020/6/18
208,Shanghai,697,668,7,2020/6/18
209,Sichuan,589,567,3,2020/6/18
210,Guangdong,1628,1603,8,2020/6/18
211,Hebei,338,322,6,2020/6/18
212,Gansu,150,137,2,2020/6/17
213,Tianjin,197,189,3,2020/6/17
214,Hong Kong,1121,1071,4,2020/6/17
215,Taiwan,445,434,7,2020/6/17
216,Shanghai,695,668,7,2020/6/17
217,Shaanxi,314,306,3,2020/6/17
218,Hebei,336,322,6,2020/6/17
219,Zhejiang,1269,1267,1,2020/6/17
220,Sichuan,589,565,3,2020/6/17
221,Beijing,731,584,9,2020/6/17
222,Guangdong,1628,1593,8,2020/6/17
223,Hong Kong,1112,1069,4,2020/6/16
224,Liaoning,152,147,2,2020/6/16
225,Shandong,792,783,7,2020/6/16
226,Guangdong,1628,1592,8,2020/6/16
227,Shanghai,695,667,7,2020/6/16
228,Sichuan,588,564,3,2020/6/16
229,Hebei,335,322,6,2020/6/16
230,Neimenggu,238,234,1,2020/6/16
231,Beijing,700,584,9,2020/6/16
232,Sichuan,588,563,3,2020/6/15
233,Taiwan,445,433,7,2020/6/15
234,Hong Kong,1112,1067,4,2020/6/15
235,Hainan,171,163,6,2020/6/15
236,Beijing,673,584,9,2020/6/15
237,Fujian,362,356,1,2020/6/15
238,Shanghai,692,667,7,2020/6/15
239,Chongqing,582,573,6,2020/6/15
240,Hebei,331,322,6,2020/6/15
241,Beijing,645,584,9,2020/6/14
242,Shanghai,691,667,7,2020/6/14
243,Shaanxi,313,306,3,2020/6/14
244,Liaoning,151,147,2,2020/6/14
245,Chongqing,580,573,6,2020/6/14
246,Guangdong,1625,1590,8,2020/6/14
247,Sichuan,583,563,3,2020/6/14
248,Shandong,792,782,7,2020/6/14
249,Hong Kong,1109,1061,4,2020/6/13
250,Hainan,171,162,6,2020/6/13
251,Beijing,601,584,9,2020/6/13
252,Neimenggu,237,232,1,2020/6/13
253,Sichuan,583,562,3,2020/6/13
254,Shanghai,690,666,7,2020/6/13
255,Guangdong,1608,1590,8,2020/6/13
256,Hong Kong,1108,1060,4,2020/6/12
257,Beijing,597,584,9,2020/6/12
258,Tianjin,196,189,3,2020/6/12
259,Fujian,361,356,1,2020/6/12
260,Sichuan,582,561,3,2020/6/12
261,Shanghai,689,666,7,2020/6/12
262,Guangdong,1607,1589,8,2020/6/12
263,Neimenggu,237,231,1,2020/6/12
264,Beijing,595,584,9,2020/6/11
265,Shanghai,684,666,7,2020/6/11
266,Shaanxi,311,306,3,2020/6/11
267,Fujian,360,356,1,2020/6/11
268,Sichuan,582,560,3,2020/6/11
269,Guangdong,1607,1588,8,2020/6/11
270,Tianjin,195,189,3,2020/6/10
271,Hong Kong,1107,1051,4,2020/6/10
272,Taiwan,443,431,7,2020/6/10
273,Neimenggu,237,230,1,2020/6/10
274,Guangdong,1604,1587,8,2020/6/10
275,Hong Kong,1107,1050,4,2020/6/9
276,Shanghai,678,665,7,2020/6/9
277,Beijing,594,584,9,2020/6/9
278,Sichuan,582,558,3,2020/6/9
279,Guangdong,1604,1586,8,2020/6/9
280,Neimenggu,235,226,1,2020/6/9
281,Hong Kong,1107,1049,4,2020/6/8
282,Sichuan,581,558,3,2020/6/8
283,Guangdong,1602,1585,8,2020/6/8
284,Shandong,792,781,7,2020/6/8
285,Neimenggu,235,218,1,2020/6/8
286,Shanghai,678,664,7,2020/6/8
287,Hong Kong,1106,1049,4,2020/6/7
288,Taiwan,443,430,7,2020/6/7
289,Jilin,155,153,2,2020/6/7
290,Fujian,359,356,1,2020/6/7
291,Shaanxi,311,305,3,2020/6/7
292,Hainan,170,162,6,2020/6/7
293,Guangdong,1602,1584,8,2020/6/7
294,Shanghai,677,664,7,2020/6/7
295,Hong Kong,1105,1048,4,2020/6/6
296,Tianjin,193,189,3,2020/6/6
297,Guangdong,1601,1584,8,2020/6/6
298,Hong Kong,1102,1045,4,2020/6/5
299,Jilin,155,150,2,2020/6/5
300,Taiwan,443,429,7,2020/6/5
301,Shanghai,677,663,7,2020/6/5
302,Tianjin,192,189,3,2020/6/5
303,Hubei,68135,63623,4512,2020/6/5
304,Sichuan,578,558,3,2020/6/5
305,Guangdong,1598,1584,8,2020/6/5
306,Neimenggu,235,213,1,2020/6/5
307,Hong Kong,1099,1042,4,2020/6/4
308,Jilin,155,149,2,2020/6/4
309,Shanghai,673,662,7,2020/6/4
310,Beijing,594,583,9,2020/6/4
311,Neimenggu,235,212,1,2020/6/4
312,Guangdong,1598,1583,8,2020/6/4
313,Hong Kong,1093,1039,4,2020/6/3
314,Jilin,155,148,2,2020/6/3
315,Taiwan,443,428,7,2020/6/3
316,Jiangxi,932,931,1,2020/6/3
317,Heilongjiang,947,934,13,2020/6/3
318,Beijing,594,582,9,2020/6/3
319,Guangdong,1597,1583,8,2020/6/3
320,Hong Kong,1093,1038,4,2020/6/2
321,Shanghai,673,661,7,2020/6/2
322,Sichuan,577,558,3,2020/6/2
323,Neimenggu,235,209,1,2020/6/2
324,Guangdong,1596,1583,8,2020/6/2
325,Jilin,155,147,2,2020/6/1
326,Fujian,358,356,1,2020/6/1
327,Shanghai,672,660,7,2020/6/1
328,Taiwan,443,427,7,2020/6/1
329,Hong Kong,1087,1037,4,2020/6/1
330,Shaanxi,309,305,3,2020/6/1
331,Hubei,68135,63620,4512,2020/6/1
332,Sichuan,575,558,3,2020/6/1
333,Guangdong,1595,1583,8,2020/6/1
334,Neimenggu,235,207,1,2020/6/1
335,Hong Kong,1084,1037,4,2020/5/31
336,Taiwan,442,423,7,2020/5/31
337,Shandong,792,780,7,2020/5/31
338,Jilin,155,144,2,2020/5/31
339,Shandong,791,780,7,2020/5/30
340,Taiwan,442,421,7,2020/5/30
341,Hong Kong,1082,1036,4,2020/5/30
342,Neimenggu,232,206,1,2020/5/30
343,Hubei,68135,63619,4512,2020/5/30
344,Shanghai,672,657,7,2020/5/30
345,Guangdong,1593,1583,8,2020/5/30
346,Hainan,169,163,6,2020/5/29
347,Hong Kong,1079,1035,4,2020/5/29
348,Jilin,155,142,2,2020/5/29
349,Taiwan,442,420,7,2020/5/29
350,Shanghai,671,657,7,2020/5/29
351,Hong Kong,1066,1035,4,2020/5/28
352,Jilin,155,136,2,2020/5/28
353,Taiwan,441,420,7,2020/5/28
354,Fujian,358,355,1,2020/5/28
355,Guangdong,1592,1582,8,2020/5/28
356,Shanghai,671,655,7,2020/5/28
357,Hong Kong,1066,1034,4,2020/5/27
358,Taiwan,441,419,7,2020/5/27
359,Shanghai,670,655,7,2020/5/27
360,Hubei,68135,63618,4512,2020/5/27
361,Neimenggu,232,205,1,2020/5/27
362,Hong Kong,1065,1033,4,2020/5/26
363,Taiwan,441,416,7,2020/5/26
364,Shanghai,669,653,7,2020/5/26
365,Fujian,357,355,1,2020/5/26
366,Neimenggu,232,204,1,2020/5/26
367,Liaoning,149,147,2,2020/5/26
368,Taiwan,441,415,7,2020/5/25
369,Shanghai,668,652,7,2020/5/25
370,Hubei,68135,63617,4512,2020/5/25
371,Sichuan,564,558,3,2020/5/25
372,Neimenggu,227,201,1,2020/5/25
373,Guangdong,1592,1581,8,2020/5/25
374,Tianjin,192,188,3,2020/5/25
375,Hong Kong,1065,1030,4,2020/5/24
376,Liaoning,149,145,2,2020/5/24
377,Shanghai,668,648,7,2020/5/24
378,Shaanxi,308,305,3,2020/5/24
379,Guangdong,1592,1580,8,2020/5/24
380,Beijing,593,581,9,2020/5/24
381,Jilin,155,128,2,2020/5/24
382,Taiwan,441,411,7,2020/5/24
383,Shaanxi,308,304,3,2020/5/23
384,Taiwan,441,408,7,2020/5/23
385,Jilin,154,128,2,2020/5/23
386,Shanghai,667,647,7,2020/5/23
387,Hong Kong,1065,1029,4,2020/5/22
388,Taiwan,441,407,7,2020/5/22
389,Jilin,154,127,2,2020/5/22
390,Neimenggu,217,199,1,2020/5/22
391,Shanghai,667,646,7,2020/5/22
392,Beijing,593,579,9,2020/5/22
393,Guangdong,1591,1580,8,2020/5/22
394,Sichuan,563,558,3,2020/5/22
395,Shanghai,667,645,7,2020/5/20
396,Neimenggu,217,196,1,2020/5/20
397,Jilin,152,125,2,2020/5/20
398,Macau,45,45,0,2020/5/19
399,Taiwan,440,401,7,2020/5/19
400,Shanghai,666,642,7,2020/5/19
401,Jilin,151,123,2,2020/5/19
402,Hubei,68135,63616,4512,2020/5/19
403,Shaanxi,308,303,3,2020/5/19
404,Neimenggu,216,196,1,2020/5/19
405,Hong Kong,1055,1025,4,2020/5/18
406,Taiwan,440,398,7,2020/5/18
407,Hebei,328,322,6,2020/5/18
408,Beijing,593,578,9,2020/5/18
409,Jilin,146,122,2,2020/5/18
410,Neimenggu,213,196,1,2020/5/18
411,Shanghai,666,641,7,2020/5/18
412,Hong Kong,1055,1024,4,2020/5/17
413,Taiwan,440,395,7,2020/5/17
414,Tianjin,192,187,3,2020/5/17
415,Jilin,144,113,2,2020/5/17
416,Beijing,593,577,9,2020/5/17
417,Guangdong,1590,1579,8,2020/5/17
418,Heilongjiang,945,932,13,2020/5/17
419,Macau,45,44,0,2020/5/17
420,Shanghai,665,641,7,2020/5/16
421,Jilin,140,108,1,2020/5/16
422,Shaanxi,308,301,3,2020/5/16
423,Neimenggu,209,196,1,2020/5/16
424,Beijing,593,576,9,2020/5/16
425,Heilongjiang,945,931,13,2020/5/16
426,Shandong,788,780,7,2020/5/16
427,Hainan,169,162,6,2020/5/15
428,Hong Kong,1052,1019,4,2020/5/15
429,Taiwan,440,387,7,2020/5/15
430,Shanghai,660,640,7,2020/5/15
431,Shaanxi,308,300,3,2020/5/15
432,Fujian,356,355,1,2020/5/15
433,Shandong,788,778,7,2020/5/15
434,Jilin,138,108,1,2020/5/15
435,Neimenggu,209,194,1,2020/5/15
436,Hong Kong,1051,1009,4,2020/5/14
437,Taiwan,440,383,7,2020/5/14
438,Shanghai,660,638,7,2020/5/14
439,Beijing,593,574,9,2020/5/14
440,Guangdong,1589,1579,8,2020/5/14
441,Tianjin,191,187,3,2020/5/14
442,Jilin,134,108,1,2020/5/14
443,Liaoning,149,144,2,2020/5/14
444,Heilongjiang,945,930,13,2020/5/14
445,Taiwan,440,375,7,2020/5/13
446,Macau,45,43,0,2020/5/13
447,Hong Kong,1050,1008,4,2020/5/13
448,Shanghai,660,633,7,2020/5/13
449,Neimenggu,209,190,1,2020/5/13
450,Beijing,593,573,9,2020/5/13
451,Shaanxi,308,297,3,2020/5/13
452,Jilin,133,108,1,2020/5/13
453,Heilongjiang,945,929,13,2020/5/13
454,Shanxi,198,198,0,2020/5/13
455,Taiwan,440,372,7,2020/5/12
456,Hong Kong,1047,991,4,2020/5/12
457,Shanghai,659,631,7,2020/5/12
458,Shaanxi,308,296,3,2020/5/12
459,Beijing,593,571,9,2020/5/12
460,Heilongjiang,945,924,13,2020/5/12
461,Guangdong,1589,1578,8,2020/5/12
462,Neimenggu,209,188,1,2020/5/12
463,Hong Kong,1047,985,4,2020/5/11
464,Macau,45,42,0,2020/5/11
465,Taiwan,440,368,7,2020/5/11
466,Jiangsu,653,653,0,2020/5/11
467,Beijing,593,568,9,2020/5/11
468,Shaanxi,308,294,3,2020/5/11
469,Heilongjiang,945,904,13,2020/5/11
470,Guangdong,1589,1577,8,2020/5/11
471,Shandong,788,777,7,2020/5/11
472,Jilin,127,105,1,2020/5/11
473,Neimenggu,208,187,1,2020/5/11
474,Hubei,68134,63616,4512,2020/5/11
475,Macau,45,41,0,2020/5/10
476,Liaoning,147,144,2,2020/5/10
477,Shanghai,659,627,7,2020/5/10
478,Hong Kong,1047,982,4,2020/5/10
479,Taiwan,440,366,6,2020/5/10
480,Heilongjiang,944,891,13,2020/5/10
481,Shaanxi,308,293,3,2020/5/10
482,Hubei,68129,63616,4512,2020/5/10
483,Beijing,593,565,9,2020/5/10
484,Jilin,124,105,1,2020/5/10
485,Hebei,328,321,6,2020/5/10
486,Neimenggu,201,184,1,2020/5/10
487,Shanxi,198,197,0,2020/5/10
488,Yunnan,185,183,2,2020/5/10
489,Hong Kong,1044,967,4,2020/5/9
490,Heilongjiang,944,835,13,2020/5/9
491,Taiwan,440,361,6,2020/5/9
492,Neimenggu,201,175,1,2020/5/9
493,Shanghai,657,626,7,2020/5/9
494,Beijing,593,563,9,2020/5/9
495,Shaanxi,308,292,3,2020/5/9
496,Jilin,113,105,1,2020/5/9
497,Guangdong,1589,1576,8,2020/5/9
498,Shanxi,198,196,0,2020/5/9
499,Taiwan,440,355,6,2020/5/8
500,Hong Kong,1044,960,4,2020/5/8
501,Tianjin,191,186,3,2020/5/8
502,Shandong,788,776,7,2020/5/8
503,Beijing,593,560,9,2020/5/8
504,Shaanxi,308,268,3,2020/5/8
505,Jiangsu,653,652,0,2020/5/8
506,Jilin,113,104,1,2020/5/8
507,Heilongjiang,944,815,13,2020/5/8
508,Neimenggu,201,172,1,2020/5/8
509,Shanxi,198,195,0,2020/5/8
510,Yunnan,185,182,2,2020/5/8
511,Hong Kong,1044,944,4,2020/5/7
512,Taiwan,440,347,6,2020/5/7
513,Shanghai,657,623,7,2020/5/7
514,Neimenggu,201,171,1,2020/5/7
515,Shaanxi,308,266,3,2020/5/7
516,Beijing,593,557,9,2020/5/7
517,Jiangsu,653,651,0,2020/5/7
518,Fujian,356,354,1,2020/5/7
519,Guangdong,1589,1575,8,2020/5/7
520,Heilongjiang,944,793,13,2020/5/7
521,Macau,45,40,0,2020/5/7
522,Shanxi,198,194,0,2020/5/7
523,Guangdong,1588,1580,8,2020/5/6
524,Heilongjiang,944,783,13,2020/5/6
525,Taiwan,439,339,6,2020/5/6
526,Shaanxi,308,264,3,2020/5/6
527,Beijing,593,555,9,2020/5/6
528,Neimenggu,201,167,1,2020/5/6
529,Shandong,788,775,7,2020/5/6
530,Shanxi,198,193,0,2020/5/6
531,Heilongjiang,944,753,13,2020/5/5
532,Hong Kong,1040,920,4,2020/5/5
533,Shanghai,656,620,7,2020/5/5
534,Hebei,328,320,6,2020/5/5
535,Zhejiang,1268,1267,1,2020/5/5
536,Neimenggu,201,160,1,2020/5/5
537,Beijing,593,554,9,2020/5/5
538,Guangdong,1588,1571,8,2020/5/5
539,Shanxi,198,190,0,2020/5/5
540,Taiwan,438,334,6,2020/5/4
541,Hong Kong,1040,900,4,2020/5/4
542,Shanghai,655,619,7,2020/5/4
543,Heilongjiang,944,657,13,2020/5/4
544,Neimenggu,201,156,1,2020/5/4
545,Shaanxi,306,263,3,2020/5/4
546,Beijing,593,553,9,2020/5/4
547,Shanxi,198,180,0,2020/5/4
548,Guangdong,1588,1569,8,2020/5/4
549,Shandong,788,773,7,2020/5/4
550,Heilongjiang,944,620,13,2020/5/3
551,Hong Kong,1039,879,4,2020/5/3
552,Taiwan,432,332,6,2020/5/3
553,Shaanxi,306,260,3,2020/5/3
554,Beijing,593,551,9,2020/5/3
555,Shanghai,653,615,7,2020/5/3
556,Shanxi,198,176,0,2020/5/3
557,Jilin,112,103,1,2020/5/3
558,Macau,45,39,0,2020/5/3
559,Tianjin,190,186,3,2020/5/3
560,Hong Kong,1039,864,4,2020/5/2
561,Taiwan,432,324,6,2020/5/2
562,Shaanxi,306,255,3,2020/5/2
563,Jilin,112,102,1,2020/5/2
564,Heilongjiang,944,604,13,2020/5/2
565,Macau,45,37,0,2020/5/2
566,Shanxi,197,176,0,2020/5/2
567,Guangdong,1588,1567,8,2020/5/2
568,Neimenggu,201,154,1,2020/5/2
569,Zhejiang,1268,1265,1,2020/5/2
570,Tianjin,190,185,3,2020/5/2
571,Liaoning,146,144,2,2020/5/2
572,Taiwan,429,324,6,2020/5/1
573,Shanghai,652,612,7,2020/5/1
574,Hong Kong,1039,859,4,2020/5/1
575,Heilongjiang,944,605,13,2020/5/1
576,Shaanxi,306,254,3,2020/5/1
577,Zhejiang,1268,1264,1,2020/5/1
578,Tianjin,190,184,3,2020/5/1
579,Jiangsu,653,650,0,2020/5/1
580,Fujian,356,353,1,2020/5/1
581,Beijing,593,547,9,2020/5/1
582,Guangdong,1588,1565,8,2020/5/1
583,Neimenggu,201,152,1,2020/5/1
584,Shanxi,197,172,0,2020/5/1
585,Jilin,111,101,1,2020/5/1
586,Macau,45,35,0,2020/4/30
587,Hong Kong,1037,846,4,2020/4/30
588,Taiwan,429,322,6,2020/4/30
589,Shanghai,647,599,7,2020/4/30
590,Zhejiang,1268,1263,1,2020/4/30
591,Jiangsu,653,648,0,2020/4/30
592,Shanxi,197,164,0,2020/4/30
593,Fujian,355,353,1,2020/4/30
594,Neimenggu,200,150,1,2020/4/30
595,Beijing,593,542,9,2020/4/30
596,Guangdong,1588,1557,8,2020/4/30
597,Jilin,111,99,1,2020/4/30
598,Shandong,787,772,7,2020/4/30
599,Hong Kong,1037,830,4,2020/4/29
600,Macau,45,34,0,2020/4/29
601,Taiwan,429,311,6,2020/4/29
602,Shanghai,645,597,7,2020/4/29
603,Zhejiang,1268,1262,1,2020/4/29
604,Fujian,355,352,1,2020/4/29
605,Jiangsu,653,647,0,2020/4/29
606,Guangdong,1588,1554,8,2020/4/29
607,Heilongjiang,939,587,13,2020/4/29
608,Shandong,787,771,7,2020/4/29
609,Neimenggu,199,146,1,2020/4/29
610,Tianjin,190,183,3,2020/4/29
611,Hong Kong,1037,811,4,2020/4/28
612,Beijing,593,538,9,2020/4/28
613,Taiwan,429,307,6,2020/4/28
614,Shanghai,644,584,7,2020/4/28
615,Shaanxi,306,253,3,2020/4/28
616,Zhejiang,1268,1261,1,2020/4/28
617,Guangdong,1587,1547,8,2020/4/28
618,Heilongjiang,939,586,13,2020/4/28
619,Neimenggu,199,145,1,2020/4/28
620,Shanxi,197,160,0,2020/4/28
621,Hong Kong,1037,787,4,2020/4/27
622,Macau,45,32,0,2020/4/27
623,Shanghai,642,581,7,2020/4/27
624,Taiwan,429,290,6,2020/4/27
625,Guangdong,1587,1542,8,2020/4/27
626,Hubei,68128,63616,4512,2020/4/27
627,Zhejiang,1268,1258,1,2020/4/27
628,Beijing,593,525,9,2020/4/27
629,Shandong,787,768,7,2020/4/27
630,Heilongjiang,936,556,13,2020/4/27
631,Neimenggu,198,129,1,2020/4/27
632,Jilin,110,99,1,2020/4/27
633,Shanxi,197,157,0,2020/4/27
634,Macau,45,31,0,2020/4/26
635,Taiwan,429,281,6,2020/4/26
636,Shanghai,642,568,7,2020/4/26
637,Zhejiang,1268,1257,1,2020/4/26
638,Tianjin,190,182,3,2020/4/26
639,Shanxi,197,154,0,2020/4/26
640,Hubei,68128,63604,4512,2020/4/26
641,Guangdong,1586,1542,8,2020/4/26
642,Neimenggu,198,121,1,2020/4/26
643,Heilongjiang,935,511,13,2020/4/26
644,Yunnan,185,181,2,2020/4/26
645,Heilongjiang,930,509,13,2020/4/25
646,Hong Kong,1037,753,4,2020/4/25
647,Taiwan,429,264,6,2020/4/25
648,Shanghai,641,558,7,2020/4/25
649,Neimenggu,197,114,1,2020/4/25
650,Tianjin,190,181,3,2020/4/25
651,Beijing,593,525,8,2020/4/25
652,Shaanxi,286,253,3,2020/4/25
653,Fujian,355,349,1,2020/4/25
654,Hubei,68128,63593,4512,2020/4/25
655,Guangdong,1585,1534,8,2020/4/25
656,Shandong,787,767,7,2020/4/25
657,Hebei,328,318,6,2020/4/25
658,Shanxi,197,149,0,2020/4/25
659,Jilin,109,99,1,2020/4/25
660,Yunnan,185,180,2,2020/4/25
661,Hong Kong,1035,725,4,2020/4/24
662,Anhui,991,985,6,2020/4/24
663,Tianjin,190,179,3,2020/4/24
664,Taiwan,428,264,6,2020/4/24
665,Shanghai,641,547,7,2020/4/24
666,Fujian,355,346,1,2020/4/24
667,Beijing,593,524,8,2020/4/24
668,Zhejiang,1268,1256,1,2020/4/24
669,Hubei,68128,63569,4512,2020/4/24
670,Heilongjiang,928,485,13,2020/4/24
671,Guangdong,1585,1528,8,2020/4/24
672,Jiangsu,653,646,0,2020/4/24
673,Sichuan,561,558,3,2020/4/24
674,Jilin,108,99,1,2020/4/24
675,Yunnan,184,180,2,2020/4/24
676,Chongqing,579,573,6,2020/4/24
677,Tianjin,189,179,3,2020/4/23
678,Heilongjiang,925,487,13,2020/4/23
679,Shanghai,640,533,7,2020/4/23
680,Taiwan,427,253,6,2020/4/23
681,Hong Kong,1035,699,4,2020/4/23
682,Macau,45,27,0,2020/4/23
683,Zhejiang,1268,1254,1,2020/4/23
684,Hubei,68128,63547,4512,2020/4/23
685,Beijing,593,522,8,2020/4/23
686,Guangdong,1584,1518,8,2020/4/23
687,Shanxi,197,142,0,2020/4/23
688,Jilin,107,98,1,2020/4/23
689,Sichuan,561,557,3,2020/4/23
690,Macau,45,26,0,2020/4/22
691,Taiwan,426,236,6,2020/4/22
692,Hong Kong,1033,678,4,2020/4/22
693,Heilongjiang,921,479,13,2020/4/22
694,Shanghai,639,534,7,2020/4/22
695,Shaanxi,279,253,3,2020/4/22
696,Fujian,355,342,1,2020/4/22
697,Jilin,106,98,1,2020/4/22
698,Hubei,68128,63519,4512,2020/4/22
699,Guangdong,1582,1511,8,2020/4/22
700,Zhejiang,1268,1252,1,2020/4/22
701,Beijing,593,518,8,2020/4/22
702,Jiangsu,653,645,0,2020/4/22
703,Sichuan,561,556,3,2020/4/22
704,Shandong,787,766,7,2020/4/22
705,Tianjin,189,176,3,2020/4/21
706,Taiwan,425,217,6,2020/4/21
707,Hong Kong,1029,650,4,2020/4/21
708,Macau,45,24,0,2020/4/21
709,Shaanxi,277,253,3,2020/4/21
710,Zhejiang,1268,1251,1,2020/4/21
711,Fujian,355,341,1,2020/4/21
712,Jiangsu,653,644,0,2020/4/21
713,Jilin,106,97,1,2020/4/21
714,Neimenggu,194,108,1,2020/4/21
715,Hubei,68128,63514,4512,2020/4/21
716,Beijing,593,516,8,2020/4/21
717,Guangdong,1582,1501,8,2020/4/21
718,Heilongjiang,913,475,13,2020/4/21
719,Shanxi,197,140,0,2020/4/21
720,Taiwan,422,203,6,2020/4/20
721,Hong Kong,1025,630,4,2020/4/20
722,Macau,45,22,0,2020/4/20
723,Shanghai,638,530,7,2020/4/20
724,Zhejiang,1268,1249,1,2020/4/20
725,Hubei,68128,63511,4512,2020/4/20
726,Guangdong,1581,1494,8,2020/4/20
727,Beijing,593,514,8,2020/4/20
728,Heilongjiang,905,472,13,2020/4/20
729,Neimenggu,194,104,1,2020/4/20
730,Hebei,328,317,6,2020/4/20
731,Liaoning,146,143,2,2020/4/20
732,Macau,45,20,0,2020/4/19
733,Tianjin,189,174,3,2020/4/19
734,Shanghai,635,521,7,2020/4/19
735,Hong Kong,1025,602,4,2020/4/19
736,Taiwan,420,189,6,2020/4/19
737,Zhejiang,1268,1247,1,2020/4/19
738,Fujian,355,339,1,2020/4/19
739,Hubei,68128,63507,4512,2020/4/19
740,Sichuan,561,554,3,2020/4/19
741,Guizhou,147,145,2,2020/4/19
742,Heilongjiang,898,472,13,2020/4/19
743,Guangdong,1580,1490,8,2020/4/19
744,Beijing,593,510,8,2020/4/19
745,Jilin,104,97,1,2020/4/19
746,Yunnan,184,178,2,2020/4/19
747,Hong Kong,1024,568,4,2020/4/18
748,Taiwan,398,178,6,2020/4/18
749,Shandong,787,765,7,2020/4/18
750,Sichuan,561,553,3,2020/4/18
751,Neimenggu,193,104,1,2020/4/18
752,Hubei,68128,63494,4512,2020/4/18
753,Hunan,1019,1015,4,2020/4/18
754,Guangdong,1579,1482,8,2020/4/18
755,Fujian,355,336,1,2020/4/18
756,Macau,45,17,0,2020/4/18
757,Heilongjiang,892,472,13,2020/4/18
758,Liaoning,146,142,2,2020/4/18
759,Tianjin,189,173,3,2020/4/17
760,Hong Kong,1021,533,4,2020/4/17
761,Taiwan,395,166,6,2020/4/17
762,Shanghai,628,512,7,2020/4/17
763,Hubei,68128,63487,4512,2020/4/17
764,Beijing,593,509,8,2020/4/17
765,Zhejiang,1268,1246,1,2020/4/17
766,Neimenggu,193,103,1,2020/4/17
767,Hebei,328,316,6,2020/4/17
768,Jiangsu,653,643,0,2020/4/17
769,Shaanxi,256,252,3,2020/4/17
770,Fujian,354,334,1,2020/4/17
771,Guangdong,1577,1475,8,2020/4/17
772,Shandong,787,761,7,2020/4/17
773,Heilongjiang,872,471,13,2020/4/17
774,Liaoning,146,140,2,2020/4/17
775,Jilin,102,97,1,2020/4/17
776,Shanxi,197,135,0,2020/4/17
777,Yunnan,184,177,2,2020/4/17
778,Tianjin,186,172,3,2020/4/16
779,Gansu,139,137,2,2020/4/16
780,Taiwan,395,155,6,2020/4/16
781,Hong Kong,1017,485,4,2020/4/16
782,Liaoning,145,140,2,2020/4/16
783,Shanghai,628,489,7,2020/4/16
784,Heilongjiang,861,471,13,2020/4/16
785,Fujian,353,333,1,2020/4/16
786,Hebei,328,315,6,2020/4/16
787,Hubei,67803,64435,3222,2020/4/16
788,Guangdong,1571,1471,8,2020/4/16
789,Beijing,593,503,8,2020/4/16
790,Sichuan,560,552,3,2020/4/16
791,Neimenggu,193,94,1,2020/4/16
792,Shanxi,194,135,0,2020/4/16
793,Hong Kong,1017,459,4,2020/4/15
794,Taiwan,395,124,6,2020/4/15
795,Macau,45,16,0,2020/4/15
796,Tianjin,185,171,3,2020/4/15
797,Shanghai,622,485,7,2020/4/15
798,Zhejiang,1268,1244,1,2020/4/15
799,Fujian,353,331,1,2020/4/15
800,Hubei,67803,64402,3222,2020/4/15
801,Guangdong,1566,1462,8,2020/4/15
802,Shaanxi,256,251,3,2020/4/15
803,Beijing,590,495,8,2020/4/15
804,Jiangsu,653,642,0,2020/4/15
805,Sichuan,560,550,3,2020/4/15
806,Shandong,784,761,7,2020/4/15
807,Heilongjiang,841,470,13,2020/4/15
808,Neimenggu,190,94,1,2020/4/15
809,Shanxi,186,135,0,2020/4/15
810,Jilin,102,96,1,2020/4/15
811,Yunnan,184,176,2,2020/4/15
812,Tianjin,185,168,3,2020/4/14
813,Gansu,139,136,2,2020/4/14
814,Taiwan,393,124,6,2020/4/14
815,Shanghai,618,468,7,2020/4/14
816,Hong Kong,1012,434,4,2020/4/14
817,Guangdong,1564,1458,8,2020/4/14
818,Fujian,353,329,1,2020/4/14
819,Jiangsu,653,641,0,2020/4/14
820,Hebei,327,314,6,2020/4/14
821,Zhejiang,1267,1242,1,2020/4/14
822,Beijing,589,491,8,2020/4/14
